시도별(1),시도별(2),2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03
서울,서울,31,40,42,42,41,45
부산,부산,27,35,35,32,34,33
대구,대구,27,41,42,37,38,38
인천,인천,35,41,40,42,37,41
광주,광주,35,43,33,36,32,35
대전,대전,29,43,40,41,38,40
울산,울산,27,34,33,30,31,34
세종,세종,32,45,46,47,43,47
경기,수원,32,42,43,44,42,47
경기,안양,36,48,49,49,46,52
경기,성남,33,42,43,44,43,47
경기,의정부,34,45,45,47,42,44
경기,광명,41,49*,42*,50,47,52
경기,안산,36,44,45,49,44,46
경기,평택,43,51,47,49,45,53
경기,과천,33,44,43,45,43,48
경기,구리,34,46,48,47,44,49
경기,의왕,33,44,46,47,43,47
경기,고양,37,47,44,46,42,49
경기,광주,32,47,57,54,50,51
경기,군포,36,43,43,44,42,48
경기,시흥,46,53,52,54,47,52
경기,부천,51,57,52,53,45,55
경기,남양주,32,44,44,40,42,46
경기,용인,34,47,50,48,47,52
경기,김포,42,49,48,48,42,52
경기,오산,31,44,41,43,40,45
경기,하남,27,43,43,46,43,45
경기,화성,39,47,46,48,44,49
경기,양주,37,47,42,41,37,44
경기,동두천,33,47,48,45,41,49
경기,안성,37,53,48,47,46,53
경기,이천,35,46,47,47,46,49
경기,파주,45,53,50,48,43,50
경기,포천,35,52,56,56,51,50
경기,여주,34,49,49,47,45,49
경기,연천,29,39,40,36,30,40
경기,가평,26,35,38,36,35,38
경기,양평,29,40,42,41,41,44
경기,도평균,37,47,47,47,44,49
강원,양구,25,35,37,33,34,33
강원,고성,27,28,27,23,28,32
강원,정선,29,37,41,36,40,39
강원,횡성,28,41,46,42,43,42
강원,춘천,31,45,47,45,42,42
강원,강릉,29*,-,30,25,32,36
강원,원주,28,38,40,39,36,38
강원,동해,25,30*,24,21,28,30
강원,삼척,25,26,25,22,28,30
강원,평창,31,40,43,39,41,41
강원,양양,25,27,26,23,28,32
강원,속초,32,31,31,25,32,37
강원,영월,28,37,37,40,41,41
강원,철원,29,39,40,36,34,41
강원,홍천,29,43,51,50,47,48
강원,화천,23,30,33,32,34,35
강원,태백,31,38,36,33,34,36
강원,인제,21,28,31,27,30,29
강원,도평균,28,36,37,34,36,37
충북,괴산,32,47,40,38,36,40
충북,음성,31,50,46,44,41,44
충북,청주,34,47,47,48,45,45
충북,충주,34,49,48,50,46,43
충북,제천,32,50,49,43,39,38
충북,단양,35,56,47,45,36,39
충북,진천,35,47,45,47,43,47
충북,옥천,31,45,45,44,40,41
충북,영동,29,42,43,41,40,42
충북,증평,32,47,46,50,42,38
충북,보은,29,42,44,42,41,45
충북,도평균,33,47,46,46,42,43
충남,천안,35,50,47,49,47,48*
충남,당진,47,53,52,53,52,59
충남,서산,37,40,37,42,40,45
충남,아산,48,55,50,52,49,53
충남,논산,34,46,42,44,47,54
충남,태안,38,40,37,41,39,43
충남,보령,36,43,39,43,44,46
충남,홍성,38,43,38,42,38,43
충남,공주,31,39,40,39,37,40
충남,부여,32,43,40,43,45,47
충남,청양,31,38,36,39,41,46
충남,금산,36,51,49,50,47,48
충남,예산,37,45,41,46,43,43
충남,계룡,27,41,38,42,41,44
충남,서천,35,40,35,41,45,48
충남,도평균,38,46,42,45,44,48
전북,임실,23,36,33,34,32,36
전북,전주,39,48,39,45*,39**,44*
전북,군산,40,49,41,41*,40,44
전북,익산,40,50,40*,46,42,46
전북,남원,23,33,29,30,28,31
전북,정읍,35,39,32,37,30,36
전북,고창,32,36,32,35,32,33
전북,부안,40,42,33,36,33,39
전북,김제,39,46,39,44,38,42
전북,완주,28,39,35,40,39,46
전북,진안,24,38,33,34,34,39
전북,무주,19,27,27,27,26,33
전북,순창,29,35,33,36,34,37
전북,장수,-,51,46,53**,-,39**
전북,도평균,34,43,36,40,36,41
전남,화순,27,33,26,34,37,35
전남,여수,24,34,26,27,28,28
전남,광양,21,31,26,25,29,29
전남,순천,22,34,27,27,28,28
전남,목포,34,39,32,38,36,36
전남,영암,35,42,41,42,39,39
전남,나주,25,34,27,30,25,28
전남,담양,27,39,27,29*,36,42
전남,장성,31,39,34,37,31,35
전남,해남,32,35,28,33,33,33
전남,영광,36,41,34,43,34,38
전남,장흥,28,34,28,30,29,30
전남,진도,29,33,26,37,35,34
전남,완도,25,34,23,27,28,28
전남,함평,32,39,36,43,39,38
전남,고흥,25,33,26,29,33,28
전남,신안,26,30,23,30,25,27
전남,무안,43,44,35,43,39,42
전남,강진,25,28,26,31,29,27
전남,곡성,26,41,34,39,34,33
전남,구례,27,36,33,34,31,33
전남,보성,26,38,33,37,38,35
전남,도평균,27,35,28,31,31,31
경북,영덕,-,-,28**,28,30,28
경북,영천,30,45,44,39,38,38
경북,의성,-,-,-,11**,30,31
경북,울릉도,26,26,23,21,24,31
경북,포항,33,42,39,37,38,41
경북,구미,32,45,48,44,43,41
경북,김천,31,41,43,37,37,39
경북,경주,27,39,37**,30,31,32
경북,안동,26,36,39,36,35,35
경북,영주,47,64,66*,-,-,37**
경북,경산,27,41,45,37,39,37
경북,상주,30,45,40,37,37,41
경북,칠곡,27,39,38,36,36,37
경북,울진,24,27,26,23,29,32
경북,봉화,17,21,22,19,25,25
경북,고령,24**,31,31,29,30,30
경북,군위,-,-,-,22**,32,34
경북,성주,-,-,-,-,-,32
경북,예천,-,-,-,-,-,35
경북,청도,-,-,-,-,33,33
경북,청송,-,-,-,-,-,32**
경북,영양,-,-,-,-,-,29
경북,문경,-,-,-,-,34*,36
경북,도평균,31,40,39,34,35,36
경남,창원,32,38,34,29,31,30
경남,진주,29,38,33,28,32,31
경남,하동,19,27,27,26,31,30*
경남,김해,30,38,37,33,36,33
경남,양산,32,38,35,29,39,38
경남,거제,32,36,29,28,33,33
경남,사천,25,35,34,32,36,31
경남,밀양,26,37,33,28,37,39
경남,통영,32,37,31,28,31,28
경남,고성,32,39,33,28,29,27
경남,거창,-,40,37,33,32,33
경남,함안,-,42,37,30,33,32
경남,함양,27,36,30,28,29,32
경남,남해,28,35,30,26,33,33
경남,산청,-,27,25,25,27,27
경남,의령,-,28,27,26,26,26
경남,창녕,-,34,33,31,33,30
경남,합천,-,27,26,25,26,27
경남,도평균,30,37,33,29,32,31
제주,제주,34,44,33,35,38,39
제주,서귀포,31,38,27,29,32,33
제주,도평균,32,40,29,31,34,35
